epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116728,1.4189,0.69006,1.00174,0.52085,0.53541,0.43481,0.24032,1.14062,37.502,0.74311,0.000974557,0.000974557,0.000974557
43,119451,1.41683,0.69232,1.00217,0.52654,0.52689,0.43927,0.24136,1.162,37.779,0.74793,0.000973312,0.000973312,0.000973312
44,122170,1.40494,0.68993,1.00133,0.51595,0.53275,0.43951,0.24193,1.16183,36.463,0.74523,0.000972039,0.000972039,0.000972039
45,124879,1.39837,0.68007,0.9979,0.5432,0.54559,0.47279,0.26645,1.15902,37.2012,0.74866,0.000970736,0.000970736,0.000970736
46,127587,1.40468,0.68347,0.99728,0.57304,0.56185,0.49837,0.28416,1.14218,37.5719,0.74666,0.000969405,0.000969405,0.000969405
47,130302,1.40409,0.67949,0.99534,0.61549,0.55099,0.50621,0.28221,1.13223,35.6581,0.74267,0.000968045,0.000968045,0.000968045
48,133020,1.39393,0.67607,1.00154,0.58813,0.56057,0.49548,0.27787,1.12439,34.3702,0.74235,0.000966656,0.000966656,0.000966656
49,135743,1.39431,0.67316,0.99773,0.57426,0.5582,0.50382,0.28677,1.10922,33.1013,0.73965,0.000965239,0.000965239,0.000965239
50,138464,1.38477,0.66268,0.99691,0.53609,0.56572,0.48955,0.27986,1.11346,34.292,0.7416,0.000963794,0.000963794,0.000963794
51,141192,1.37448,0.66223,0.99225,0.55377,0.53994,0.51014,0.2982,1.10987,32.7259,0.7409,0.00096232,0.00096232,0.00096232
52,143908,1.37679,0.663,0.99063,0.55826,0.52911,0.4936,0.28634,1.11153,33.4432,0.74226,0.000960819,0.000960819,0.000960819
53,146614,1.3757,0.6644,0.99072,0.55943,0.51195,0.48641,0.28233,1.11357,32.4854,0.74523,0.000959289,0.000959289,0.000959289
54,149356,1.37381,0.65957,0.99175,0.52603,0.54732,0.47563,0.27662,1.11721,32.679,0.75011,0.000957731,0.000957731,0.000957731
55,152082,1.37632,0.65532,0.99152,0.52891,0.5385,0.47137,0.27371,1.11845,32.7032,0.75108,0.000956145,0.000956145,0.000956145
56,154803,1.37198,0.64641,0.99373,0.5309,0.55045,0.47539,0.27576,1.11275,33.4879,0.7489,0.000954531,0.000954531,0.000954531
57,157547,1.36556,0.64863,0.98889,0.53715,0.54846,0.478,0.27763,1.11554,32.7183,0.74885,0.000952889,0.000952889,0.000952889
58,160320,1.35389,0.65241,0.98604,0.53656,0.54514,0.4691,0.27281,1.11873,33.7924,0.7494,0.00095122,0.00095122,0.00095122
59,163039,1.34586,0.64313,0.98241,0.53892,0.53901,0.45948,0.26547,1.11836,34.9607,0.74952,0.000949524,0.000949524,0.000949524
60,165846,1.34493,0.64208,0.9827,0.54364,0.5416,0.45717,0.26209,1.12433,35.5241,0.75337,0.0009478,0.0009478,0.0009478
61,168654,1.34366,0.63877,0.98156,0.55091,0.53618,0.45556,0.26078,1.12961,35.6643,0.75599,0.000946048,0.000946048,0.000946048
62,171462,1.34306,0.64054,0.98149,0.55576,0.53198,0.45749,0.26045,1.13361,34.4862,0.75689,0.00094427,0.00094427,0.00094427
63,174169,1.34413,0.64143,0.98316,0.55235,0.53339,0.45534,0.25858,1.13645,34.3008,0.75679,0.000942464,0.000942464,0.000942464
64,176914,1.3514,0.64498,0.98247,0.54815,0.53718,0.45686,0.25926,1.13766,35.4196,0.75656,0.000940631,0.000940631,0.000940631
65,179629,1.34172,0.64029,0.98248,0.54617,0.53875,0.45944,0.26111,1.13684,35.7799,0.75494,0.000938772,0.000938772,0.000938772
66,182378,1.33058,0.63173,0.97835,0.54611,0.54492,0.46666,0.26503,1.1359,35.9785,0.75312,0.000936886,0.000936886,0.000936886
67,185076,1.32987,0.63705,0.97902,0.54463,0.54769,0.46985,0.26846,1.13289,36.3579,0.75151,0.000934973,0.000934973,0.000934973
68,187800,1.33209,0.63179,0.97387,0.5453,0.55034,0.47075,0.26898,1.13149,36.4129,0.74923,0.000933033,0.000933033,0.000933033
69,190542,1.34011,0.63503,0.98181,0.53955,0.55344,0.47039,0.26943,1.13079,36.5233,0.74815,0.000931067,0.000931067,0.000931067
