epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53915.1,1.50022,0.81044,1.0135,0.47521,0.52744,0.39251,0.13701,1.33986,10.9638,0.86289,0.000974557,0.000974557,0.000974557
43,55193.3,1.47421,0.7917,1.00892,0.47561,0.51792,0.38645,0.13478,1.34001,10.862,0.86687,0.000973312,0.000973312,0.000973312
44,56468.8,1.46757,0.7978,1.00892,0.48714,0.51475,0.39984,0.1381,1.34624,10.5727,0.87236,0.000972039,0.000972039,0.000972039
45,57750.6,1.4825,0.78344,1.00997,0.49301,0.5159,0.40552,0.14066,1.34621,10.4668,0.86961,0.000970736,0.000970736,0.000970736
46,59028.9,1.46697,0.78424,1.0036,0.4983,0.51693,0.41192,0.14349,1.33609,10.5074,0.86241,0.000969405,0.000969405,0.000969405
47,60308.9,1.47277,0.78925,1.01125,0.49163,0.52302,0.414,0.14355,1.3403,10.4005,0.86407,0.000968045,0.000968045,0.000968045
48,61587.3,1.4424,0.75415,1.00292,0.48802,0.53198,0.41106,0.14175,1.34381,10.3444,0.86547,0.000966656,0.000966656,0.000966656
49,62867,1.45355,0.7728,1.00346,0.4858,0.53271,0.40972,0.1417,1.33832,10.272,0.86502,0.000965239,0.000965239,0.000965239
50,64142.6,1.42752,0.75993,0.99469,0.49156,0.5395,0.41942,0.14533,1.33076,10.223,0.86187,0.000963794,0.000963794,0.000963794
51,65419,1.43656,0.7645,1.00151,0.49485,0.5416,0.42175,0.14613,1.33149,10.2048,0.86084,0.00096232,0.00096232,0.00096232
52,66697.8,1.42679,0.7413,0.99289,0.49354,0.54309,0.42086,0.14568,1.33544,10.2042,0.86242,0.000960819,0.000960819,0.000960819
53,67975.8,1.42764,0.74543,0.99537,0.49131,0.54063,0.41968,0.14624,1.33516,10.2664,0.86208,0.000959289,0.000959289,0.000959289
54,69256,1.4255,0.74191,0.99273,0.49431,0.54293,0.42222,0.14736,1.33222,10.3268,0.86166,0.000957731,0.000957731,0.000957731
55,70532.9,1.43187,0.73124,0.99972,0.4935,0.54105,0.42243,0.1466,1.33696,10.2859,0.86329,0.000956145,0.000956145,0.000956145
56,71811.2,1.43272,0.7532,1.00017,0.49188,0.54204,0.42315,0.1469,1.33776,10.3258,0.86411,0.000954531,0.000954531,0.000954531
57,73087.9,1.42138,0.73333,0.99376,0.49205,0.54282,0.42406,0.1475,1.33544,10.3996,0.86263,0.000952889,0.000952889,0.000952889
58,74364.4,1.42787,0.74156,0.99448,0.49617,0.54525,0.42448,0.14712,1.33748,10.4644,0.86374,0.00095122,0.00095122,0.00095122
59,75643.1,1.40149,0.72215,0.98644,0.49725,0.54437,0.42678,0.1483,1.33669,10.433,0.86355,0.000949524,0.000949524,0.000949524
60,76919.6,1.40167,0.72214,0.98405,0.49765,0.54289,0.4265,0.14817,1.33801,10.4787,0.8642,0.0009478,0.0009478,0.0009478
61,78198.6,1.40279,0.72458,0.98959,0.50027,0.54016,0.42681,0.14838,1.33468,10.5243,0.86321,0.000946048,0.000946048,0.000946048
62,79478,1.42317,0.73179,0.99567,0.50178,0.5389,0.42735,0.14805,1.33641,10.5415,0.86455,0.00094427,0.00094427,0.00094427
63,80754.5,1.41088,0.71893,0.98638,0.4963,0.54536,0.42658,0.14797,1.33413,10.5792,0.86371,0.000942464,0.000942464,0.000942464
64,82031.9,1.37654,0.70946,0.97699,0.50333,0.53906,0.42892,0.14897,1.3339,10.5554,0.86364,0.000940631,0.000940631,0.000940631
65,83309.5,1.39905,0.71051,0.99018,0.50407,0.53936,0.43075,0.14964,1.33224,10.5439,0.8629,0.000938772,0.000938772,0.000938772
